id,prediction,loss
700,3632,5646
702,2672,3688
711,2766,1843
714,2266,4363
716,1393,3008
720,7711,5403
724,1553,1241
727,1368,1117
732,5517,6380
738,1811,4398
740,2941,3332
743,2193,1.252e+04
752,850.4,804.3
754,2014,1538
756,970.6,1060
762,757.3,1724
764,2766,3269
766,1865,2174
772,2399,1808
780,911.2,1990
781,1768,3304
784,1526,3766
786,1313,678.7
787,2701,3095
789,2751,3458
793,1.072e+04,1.104e+04
797,5383,9133
803,2661,1719
804,1662,633
806,1851,7195
810,1339,980.8
811,1811,1168
813,2672,2212
814,712.1,995.3
819,1553,959
821,2399,2196
824,898.7,819.2
827,1114,1356
829,5386,5572
835,1114,670.5
836,1553,1523
837,1300,1067
843,2562,2073
848,3013,1535
854,1368,1639
855,1342,1303
856,3273,8039
857,3467,5044
860,1526,918.5
867,5153,6348
870,3467,3103
871,1441,1038
878,1.024e+04,5715
881,3141,4540
882,4085,6113
887,1313,1496
890,3273,2787
892,1262,1593
893,1613,2130
894,1342,1023
895,1890,1625
898,3082,4576
900,4085,5177
902,1890,2930
903,1731,1529
905,1890,1484
906,1754,828.6
907,2597,1929
908,1262,641
909,2284,4083
912,3580,1488
914,2284,1803
915,1441,686
917,3044,1488
919,2284,1487
920,1526,1576
921,2242,2298
926,1.083e+04,1.841e+04
930,2092,2763
936,1851,3701
937,7163,4630
938,3665,2076
939,4211,3597
946,4702,6679
951,1865,1254
953,2947,3033
958,2242,3288
961,1865,1321
968,2399,3295
969,1220,1127
970,2092,5476
971,6475,4708
972,1220,2228
973,1163,1754
974,2431,1115
980,832.3,513
982,1163,1177
985,1526,1832
987,9485,835.9
988,1309,1170
991,5913,4907
992,2092,1785
993,1691,1857
996,1754,1934
997,4702,3943
1001,2193,2323
1009,1013,1178
1013,1814,1465
1014,3141,4469
1015,911.2,786.8
1017,2751,753.9
1020,3946,2920
1026,3370,4110
1027,1441,1873
1030,5828,1.262e+04
1032,1969,817.2
1037,7087,7593
1039,1.023e+04,9877
1041,2408,1912
1043,4184,4618
1046,1313,1260
1049,5139,4991
1050,1.072e+04,1.287e+04
1052,2037,3816
1053,4369,3769
1062,1614,1445
1065,1969,850.9
1068,1393,612.7
1070,1013,822.4
1075,832.3,2174
1079,5913,3633
1081,3715,4136
1082,1313,606.7
1086,937.8,1093
1087,2281,2173
1090,3082,3272
1092,1013,1296
1094,1450,798.8
1095,2522,908.5
1099,2120,2370
1104,3323,2208
1107,2314,1301
1110,2766,2506
1112,2092,1356
1117,2242,3189
1119,1754,1006
1125,3875,3401
1128,2399,6865
1129,4048,1.023e+04
1131,2801,594.8
1134,2120,1231
1139,1305,1025
1141,1450,1234
1148,4211,3400
1151,2947,2538
1155,3910,3806
1156,1662,2273
1158,2092,1487
1159,1368,1663
1160,1262,1070
1161,1851,1264
1162,3044,7496
1166,3206,2127
1167,1904,1113
1168,832.3,559
1169,712.1,816.9
1173,1441,4180
1174,4369,4809
1175,2115,688.9
1176,1101,994.4
1177,3730,4089
1178,4702,7349
1181,1677,404.1
1186,866.6,518.9
1187,1929,1284
1189,5828,3502
1194,2266,1587
1195,5162,3940
1198,4835,3599
1203,3582,2992
1205,4738,8588
1206,1101,1221
1210,5319,5538
1211,1638,3424
1213,2597,1721
1215,5368,6787
1224,3946,3961
1226,1553,1721
1230,1079,752.2
1236,1441,2677
1237,6475,5873
1240,970.6,1999
1246,1049,815.8
1256,1731,2241
1257,1220,441.5
1261,1393,1822
1266,911.2,1148
1270,2206,2305
1272,5153,9697
1273,4574,3146
1274,1555,818.2
1276,3273,3904
1278,1040,1622
1282,2751,4904
1283,2314,1953
1284,1262,1213
1285,2037,406.5
1288,3273,5889
1291,2037,2298
1296,1262,757.8
1297,4184,7075
1298,3467,1629
1302,970.6,2826
1309,1262,1860
1311,1662,1842
1317,1754,3664
1319,2266,1160
1322,1638,4061
1329,5828,4508
1333,3141,5526
1337,1526,5297
1338,1731,3388
1339,4574,1520
1343,2766,2433
1345,3467,6062
1349,5319,4192
1350,1313,1223
1364,1614,1409
1366,2431,1369
1367,1553,4569
1369,832.3,960.1
1370,4085,4791
1372,1163,1492
1379,1764,1471
1386,1691,3334
1389,777.2,1084
1391,2751,3508
1392,5153,5866
1396,2206,5012
1399,804.2,2494
1400,2206,1482
1407,4369,6613
1412,3013,2347
1413,2092,1938
1414,2006,5089
1416,7711,7627
1417,1079,1014
1420,1526,2514
1423,1555,1160
1428,1613,1602
1430,3273,1576
1432,1814,2134
1434,1840,1155
1435,7711,2102
1439,1079,571.2
1440,5702,4727
1442,3082,4722
1447,1441,1035
1456,3323,3426
1460,1163,224.9
1466,1851,1064
1467,924.1,1607
1470,3875,2560
1472,1450,3545
1476,1662,891.3
1477,2206,1.643e+04
1487,1754,513.2
1495,1044,192.6
1496,3082,4385
1497,753.4,2337
1498,6897,5913
1503,1040,345.6
1505,4048,2424
1511,3467,1529
1522,4369,2303
1524,2266,3410
1526,2766,5321
1531,2242,4051
1533,5913,3130
1535,2399,2960
1537,655.8,819.8
1538,1667,968.1
1540,3273,6227
1543,1473,785.7
1544,1811,2434
1548,1865,3642
1566,1662,1224
1571,1.2e+04,9096
1572,1553,1454
1574,1613,2990
1577,970.6,517.2
1578,1754,1039
1580,1814,934.9
1582,4211,1606
1584,1553,4657
1586,1242,1723
1589,6684,7203
1601,1368,2910
1606,6710,1.069e+04
1611,2092,1867
1613,1754,2308
1614,2006,882.8
1615,1583,1397
1621,753.4,860
1622,2701,2937
1623,1339,1255
1630,2037,2300
1637,832.3,814.4
1642,1313,1220
1648,1754,529.2
1652,1450,1654
1657,1441,1836
1658,3206,3441
1659,8491,5108
1661,1079,1662
1662,1610,2378
1663,2206,3318
1666,2801,2914
1668,3467,9773
1671,9227,8177
1674,2751,1769
1680,2092,3636
1681,576.9,907.2
1688,3206,5335
1700,2431,1789
1702,1339,1439
1703,2408,1721
1704,2032,5118
1707,2408,1254
1709,1450,1482
1714,1441,2618
1717,2092,2916
1718,9485,1.503e+04
1721,3082,5600
1723,804.2,574.6
1725,5913,5994
1726,3467,6780
1732,1969,4765
1733,2092,7285
1735,1114,727.9
1738,3467,1.168e+04
1740,1754,2028
1741,1638,1933
1742,2266,3115
1748,2431,2154
1754,4826,4520
1755,2751,1858
1757,4332,1912
1761,3875,1510
1765,911.2,1705
1767,1040,1263
1768,1.452e+04,2.202e+04
1774,644.1,395.6
1776,1300,594.3
1778,2284,6620
1779,8491,6392
1781,1904,708.4
1795,937.8,766.3
1797,2408,1841
1802,1262,1864
1804,1457,1211
1806,670,695.5
1809,4184,7851
1814,1163,1421
1815,970.6,888.5
1823,7711,9239
1824,1220,489
1826,2242,4004
1829,1101,1336
1845,3715,5445
1847,2408,1384
1849,4702,4015
1850,1262,1100
1859,3715,9593
1860,3632,2470
1861,1163,1211
1864,1764,1295
1866,1013,725.9
1875,2281,1796
1877,3044,796.1
1879,2314,2062
1887,2120,1151
1891,1262,728.7
1893,1754,2871
1896,1163,2483
1897,1754,2789
1904,2766,2712
1907,7711,8143
1909,1553,1450
1920,4445,4939
1921,2399,1757
1922,2597,1571
1923,3273,7469
1924,2562,2776
1925,1313,1887
1926,2554,2802
1931,1890,1890
1934,1553,1623
1936,1220,1140
1939,1163,346.9
1946,5913,4434
1949,2092,2438
1951,5913,8928
1954,1262,784.4
1956,1811,1799
1957,6255,6376
1961,3323,963.5
1963,1044,456.8
1964,3044,4921
1965,3875,4413
1970,911.2,2198
1971,4844,7817
1972,2890,2497
1977,1457,3684
1978,3946,4307
1982,3730,1733
1983,3082,4724
1988,4085,3685
1993,5153,4697
1996,753.4,641.5
1997,1811,1715
2002,2032,1555
2003,1890,3112
2005,2032,1302
2010,1677,1410
2013,777.2,966.7
2018,2314,1091
2023,1865,3703
2043,5386,4768
2044,970.6,1047
2046,1441,652
2058,1583,1975
2060,5153,3538
2061,1969,1975
2063,4369,5045
2067,1526,1163
2072,1613,1233
2075,1163,808.7
2076,1904,1377
2083,6255,5271
2084,1013,795.6
2086,1768,1069
2087,3206,5202
2091,2399,1643
2092,2266,3108
2098,5913,3367
2099,1.072e+04,1.92e+04
2103,3141,976.7
2104,1.024e+04,5905
2107,753.4,917
2109,1013,1475
2110,1441,1276
2111,1163,3058
2112,4582,6879
2121,4184,5213
2123,2801,1194
2130,2597,1178
2134,2309,3895
2138,1583,858.9
2141,1890,1606
2146,1526,1201
2148,7516,8423
2149,937.8,1216
2154,1040,967.2
2157,2266,3601
2158,1638,1315
2159,2562,3898
2162,1040,2754
2167,6684,7386
2171,1457,1973
2175,3715,4090
2178,5913,9006
2180,644.1,675.9
2186,1865,1176
2192,866.6,934.3
2193,7711,8920
2197,2092,1001
2198,1.452e+04,1.458e+04
2203,1393,390.3
2205,3044,5067
2207,2408,2166
2213,2399,1365
2215,5828,6781
2216,1262,2829
2218,911.2,725.2
2220,3715,1844
2229,2092,1688
2232,3715,3004
2233,1638,3656
2234,2242,1940
2237,2006,1782
2240,2006,1656
2241,1342,2248
2246,1691,1636
2249,1163,1541
2251,3632,8415
2255,1262,1056
2257,1342,1656
2261,1300,1575
2264,1851,2288
2269,8491,9132
2271,1667,2120
2272,2562,1784
2278,5913,4421
2286,1811,3420
2287,9485,7974
2293,5162,1.079e+04
2294,1040,1007
2298,1553,1615
2303,924.1,654.1
2305,7163,2.597e+04
2308,8491,5008
2310,2701,3308
2311,2092,4712
2320,1441,1479
2322,6027,7977
2323,4369,5170
2324,911.2,4093
2325,4211,4366
2327,3323,1627
2328,1313,2853
2331,3370,5439
2332,3583,3599
2335,970.6,857.6
2339,3910,2452
2343,1040,1871
2345,2947,2739
2352,1811,1251
2356,2309,4138
2357,2408,2606
2365,1638,2195
2373,1890,2579
2375,1313,1702
2379,2314,3339
2380,3044,3604
2385,1583,1091
2390,1851,2290
2393,1220,1985
2398,937.8,699.3
2399,1220,736.9
2402,4738,5643
2405,5913,7385
2406,1691,1727
2408,5913,5154
2410,6475,6876
2412,5368,5225
2419,4211,6952
2423,2890,4693
2431,3730,2421
2437,2431,2586
2441,1281,1096
2443,1613,1523
2453,1262,1252
2454,1114,461.6
2455,3467,4021
2459,3206,2157
2464,1553,1519
2465,2597,1576
2466,8189,6368
2473,2193,776.6
2474,4085,5180
2476,5048,6141
2477,1638,1183
2486,6897,1.252e+04
2490,1890,2185
2491,1441,873
2493,1526,377.6
2495,5153,5962
2500,2006,5270
2506,2399,1637
2508,6255,5143
2517,2037,1472
2518,1851,1662
2520,3910,7758
2525,1262,1088
2527,1811,750
2531,712.1,448.8
2533,1114,630.2
2541,1768,1026
2547,7163,6699
2550,7516,1.157e+04
2554,2120,3110
2559,1101,1016
2560,866.6,973.2
2561,2266,1260
2565,4332,4500
2568,2092,2176
2569,2801,4683
2570,1754,827.1
2576,3273,4122
2578,2814,4092
2579,4844,7769
2580,2032,4221
2585,4048,3588
2590,2562,4179
2591,3044,2618
2594,3715,3535
2600,1811,5571
2605,1049,1163
2606,5319,6709
2608,1969,1693
2616,2193,4281
2617,804.2,765.9
2619,1450,912.1
2622,1342,1742
2623,2408,5688
2625,2266,1178
2632,3946,4308
2634,970.6,613.4
2639,1555,1556
2645,1013,420.1
2652,4702,6185
2655,1677,1467
2656,898.7,981.2
2658,3141,1964
2660,3467,5357
2661,2597,1830
2669,6897,4141
2672,898.7,598.3
2675,1754,4070
2681,1368,1547
2685,5153,5781
2686,937.8,1034
2687,1163,1565
2688,1114,967
2697,1262,729.9
2698,1553,3038
2709,2562,2278
2712,3730,6685
2718,2242,1948
2719,1526,1819
2722,1667,686.1
2724,2206,2780
2728,1013,626.5
2729,5517,2298
2734,3467,2053
2735,1.399e+04,1.458e+04
2737,1044,644.8
2741,1526,1193
2742,1851,3231
2747,4582,3862
2748,1163,2495
2749,3370,5103
2756,1969,3598
2758,2092,954.6
2763,6255,9920
2770,1754,1824
2771,2242,2959
2779,1013,1010
2780,1101,742.7
2792,1.2e+04,1.174e+04
2793,1638,1697
2794,1553,1779
2795,9227,7190
2797,1526,955.2
2798,1526,2405
2799,1904,4135
2802,4211,3772
2806,5386,3794
2810,1300,836.3
2812,2947,3921
2824,4445,4404
2831,911.2,2279
2832,712.1,676.1
2838,1.399e+04,2.96e+04
2840,1.302e+04,1.533e+04
2841,4142,6921
2842,1262,1457
2848,2878,9846
2850,1586,1937
2852,1638,4544
2855,1156,2513
2857,3141,1063
2858,2399,2189
2859,3141,4667
2860,3141,3184
2861,3206,4636
2865,2672,2480
2871,5153,7608
2872,1220,906.8
2874,1614,3159
2880,3323,2946
2882,1163,911.4
2883,3467,4425
2885,2701,3329
2891,7163,9950
2898,2597,3033
2902,4582,2963
2904,1929,2451
2922,2115,1618
2925,1339,2159
2928,1929,2146
2935,2597,3285
2938,1220,3868
2940,3582,3011
2950,1860,1247
2951,3273,2723
2953,2597,2364
2955,5139,6686
2959,1040,1278
2967,2562,6083
2968,6255,5457
2969,1262,916.8
2976,4034,9494
2978,2092,4721
2981,1526,808.4
2988,1.083e+04,1.061e+04
2989,7163,5884
2994,1754,2663
2999,1553,1439
3000,1929,995.1
3010,2120,1326
3011,1811,1608
3015,1851,7599
3016,1262,1220
3018,3082,3976
3019,2266,1964
3022,2006,4596
3024,1368,1915
3031,3730,6779
3032,1342,1133
3033,1.108e+04,8091
3039,9485,8559
3041,1697,2923
3042,1068,768.5
3051,1262,1089
3058,1586,1705
3061,1811,2708
3062,1851,2635
3066,2597,2306
3068,2014,622.1
3072,5319,3845
3073,1840,1310
3074,2266,2961
3080,2242,3437
3083,4085,4329
3089,1754,1007
3093,2597,2214
3095,3273,1772
3098,2766,4119
3101,5153,6757
3104,670,681
3106,3715,5107
3109,1262,663
3111,6684,5664
3113,1553,1649
3114,1262,2103
3116,670,845.5
3117,2766,793.4
3119,4048,4398
3125,1163,709.6
3126,2266,2350
3127,1614,3149
3129,898.7,342.5
3130,7163,7677
3131,2092,2886
3135,3323,1258
3137,3044,4851
3139,1079,1149
3142,2399,2347
3148,1731,1572
3150,3370,7176
3156,1300,1518
3162,1079,1122
3164,1079,1524
3166,1890,3455
3167,1368,1504
3168,2006,1321
3174,4445,9448
3179,2266,3057
3185,1555,1670
3187,2242,2157
3188,1163,1673
3193,1.024e+04,8221
3195,1677,793
3198,1865,1668
3206,5913,6635
3211,2431,3427
3213,1262,1164
3215,1811,1955
3218,1342,1036
3223,1300,676.3
3224,1441,872.4
3227,1313,2087
3231,1114,819.2
3233,1526,2518
3238,4826,3082
3242,1929,2368
3244,2597,1478
3246,5616,3710
3247,2408,7968
3248,1610,2660
3252,1163,1161
3253,4085,1350
3255,2766,1760
3256,2947,3143
3257,757.3,726.2
3268,2266,3263
3272,2431,9958
3274,1904,800.4
3276,1677,2738
3277,1313,1421
3280,4844,2794
3283,2266,1712
3290,2766,2622
3292,1450,6026
3294,1262,531.9
3298,2187,1048
3301,2193,4169
3304,1526,2502
3310,832.3,668.6
3316,2701,3071
3317,1.452e+04,2.494e+04
3318,777.2,863
3321,1441,1132
3326,1262,3923
3329,7711,5390
3331,5913,5636
3332,2562,1897
3333,5368,3991
3336,1450,1492
3338,1342,1472
3341,5319,6663
3342,3273,1665
3345,1557,2122
3346,2120,4372
3349,1583,2344
3351,2701,3875
3357,3044,2126
3360,6255,1.334e+04
3362,1754,2220
3365,1614,952.5
3371,4470,2372
3372,4958,6338
3375,8667,1.006e+04
3379,1305,590.4
3386,6897,6275
3389,2408,3279
3390,1890,2955
3391,937.8,1580
3402,3087,3647
3404,3715,5635
3406,2266,1142
3408,2006,2739
3411,1068,690
3415,2597,1582
3419,1040,1145
3424,2751,704.8
3425,1811,2555
3426,2597,3989
3428,2092,3500
3436,2878,1480
3438,3467,4720
3440,1220,583.2
3447,1677,1485
3448,2562,1637
3451,4844,6020
3452,2206,2983
3460,1553,867.9
3462,1613,2873
3465,1890,2915
3471,2672,2247
3472,2092,1119
3473,873.4,448.6
3474,2242,2966
3485,6255,3053
3487,6255,6969
3488,1586,1476
3489,1262,1576
3490,753.4,560.5
3491,4211,1415
3493,2947,2201
3496,3141,2780
3497,6255,4804
3504,1904,2820
3505,1441,1406
3516,2037,1467
3519,1969,1473
3521,3632,3424
3525,4211,5182
3527,8491,6869
3528,832.3,931.8
3529,4369,3752
3530,1044,654.3
3533,7163,6601
3536,4826,4553
3548,1.024e+04,6856
3549,4582,3923
3550,1851,2222
3553,2206,1188
3556,1163,1228
3561,1860,1061
3562,2597,819.4
3563,1114,1255
3564,898.7,700
3566,1731,2311
3568,3582,942.9
3569,970.6,1016
3571,2266,1749
3581,2037,1634
3586,2032,6243
3587,1220,708.1
3588,2120,2583
3591,2193,1267
3596,2309,1462
3599,1300,2133
3603,3044,4698
3612,1754,1777
3616,1613,1826
3620,3323,3526
3625,2431,3116
3626,3273,2183
3633,2597,3374
3635,1613,2196
3636,5162,1.039e+04
3639,2890,1302
3644,8491,1.116e+04
3646,4582,6318
3648,911.2,949.5
3652,2597,5094
3662,1.072e+04,1.165e+04
3665,1526,3056
3667,1262,979.7
3670,2766,2145
3671,1814,1762
3673,1114,2236
3676,3044,3682
3679,3582,6464
3682,1040,1590
3687,1929,1640
3688,6255,4088
3691,3715,4789
3692,1342,809.8
3696,1313,924.9
3702,1526,2263
3705,1262,894.1
3707,9227,6703
3709,6255,4361
3710,1441,548
3711,2562,3857
3715,2431,2528
3717,3370,3249
3720,2399,3106
3724,2661,2012
3725,6027,4034
3735,1040,568.6
3736,866.6,758.5
3737,1811,1995
3745,2408,2911
3746,2399,5434
3751,1610,1301
3753,2037,2658
3756,7711,6635
3759,898.7,755.8
3761,2006,1989
3764,2672,2367
3766,1262,3069
3768,1313,2661
3771,1114,629.1
3774,6897,7362
3782,777.2,971.7
3788,1851,1722
3789,2701,2904
3791,2242,1527
3792,1163,824.9
3794,6255,6955
3795,1114,1286
3799,1079,1353
3802,1441,1307
3803,1613,2360
3811,1441,1285
3817,7516,1.426e+04
3821,2120,2926
3824,2092,2859
3825,1339,1392
3832,1300,410.6
3843,7087,6114
3844,2947,2808
3846,2399,2060
3853,3910,2351
3854,8058,7214
3862,2193,2908
3863,6684,9310
3869,5616,3802
3870,1526,1357
3876,1890,1164
3886,7711,4817
3887,3141,7602
3889,5616,3615
3890,1441,1798
3898,1610,1192
3899,2399,4498
3904,4826,5150
3905,3632,2435
3906,1300,1083
3907,2431,3035
3910,1441,1462
3911,2266,729.9
3912,1441,2932
3914,1731,1441
3920,2408,4329
3925,1262,1022
3926,937.8,1152
3927,9227,1.353e+04
3930,3044,2662
3934,4211,6198
3937,2408,1537
3938,1811,3641
3946,937.8,701.2
3953,1614,1338
3954,3057,6372
3955,1156,511.6
3956,1553,1293
3959,2266,940.4
3960,1638,2141
3968,4369,3480
3969,1342,1657
3970,3013,1356
3981,1677,768
3982,2037,4619
3984,2314,3520
3988,7222,7966
3990,1553,1411
3993,2266,709.7
3994,1677,1280
3996,2562,1941
3999,1811,1028
4009,2266,5181
4014,6255,3765
4015,2890,1938
4022,1677,2137
4024,5153,4036
4027,1163,643.7
4030,1904,2459
4032,2284,3480
4034,1890,3856
4036,2266,3446
4041,5319,6370
4044,3875,3607
4049,3013,3402
4050,7711,5023
4051,2554,3277
4052,1313,1218
4054,2814,3133
4055,2801,943.5
4058,1754,1784
4068,4702,2154
4069,2266,1364
4070,6475,1.476e+04
4072,5913,7861
4076,1662,1617
4078,1262,1287
4084,2399,2815
4086,4702,3990
4088,1613,1242
4099,1368,1949
4101,1638,2327
4102,1114,1612
4103,937.8,648.4
4111,5368,3877
4112,1851,3265
4113,4369,5052
4115,1339,956.7
4119,6684,7551
4125,3875,3257
4126,9227,1.071e+04
4132,2890,1690
4134,2120,1010
4135,1450,3397
4136,1441,1617
4143,1114,940.3
4145,1174,652.5
4147,3946,1756
4148,3875,4482
4154,1614,1638
4157,1526,1366
4160,1677,1425
4161,2597,3743
4162,2814,4834
4164,4048,3006
4166,3044,7822
4171,7711,8600
4174,1860,769.5
4177,1677,8437
4184,1163,474.3
4192,2431,1733
4197,898.7,233.2
4206,2814,3367
4208,2309,4964
4209,1220,797.8
4211,1163,2033
4214,5153,5997
4217,4369,2202
4220,1262,1470
4222,3141,1650
4224,1450,1915
4230,2814,1146
4232,1450,2396
4233,3467,2990
4236,2284,2734
4238,1220,949.8
4246,2408,1255
4247,1526,1030
4250,1163,829.6
4251,2814,4121
4252,5616,5488
4254,1526,1303
4255,6897,3624
4266,8667,8264
4269,1450,968.3
4270,3730,3429
4275,1754,1048
4278,753.4,813.1
4279,3715,2871
4282,1044,2443
4285,1013,835.5
4286,1262,1507
4289,1220,1410
4297,3206,3314
4298,2266,2251
4300,4582,8058
4303,1068,564.5
4304,2092,2427
4310,1553,1507
4311,4211,4416
4312,5153,5736
4322,2766,2634
4326,2431,4421
4328,2431,801.7
4333,1220,807.5
4338,1079,1947
4340,2266,2632
4342,1814,2977
4344,2801,3130
4345,1300,1204
4349,1614,2755
4353,3910,4157
4354,2092,4754
4361,2431,3072
4362,3206,5384
4367,1638,1445
4369,1583,1562
4372,3141,6876
4373,1262,391.7
4381,1851,1215
4383,1305,868.5
4384,5913,5951
4385,712.1,611.3
4386,5517,4764
4388,5913,3141
4389,2193,4081
4394,2562,2737
4396,2431,3428
4398,2242,1018
4399,1553,1922
4401,1220,1630
4405,832.3,884.2
4406,5368,7716
4407,3875,3793
4409,2408,1335
4419,1586,2795
4420,3082,2222
4423,2193,1932
4426,2281,1778
4427,1811,1553
4428,1553,1379
4441,3273,2381
4445,1814,2193
4453,1313,1157
4454,6255,1616
4460,6475,9235
4462,832.3,1167
4463,1262,398.6
4464,2562,2827
4466,4369,6921
4468,1441,842.3
4470,1526,1121
4472,2801,1469
4473,3082,777.4
4476,2597,2727
4487,753.4,980.2
4493,2032,2367
4495,1013,761.5
4499,2431,1514
4506,1662,1247
4509,4085,2646
4511,1.024e+04,4211
4512,1441,2599
4518,4702,4446
4520,1677,2478
4526,1610,5132
4532,1890,746.8
4538,1638,1330
4540,3730,5256
4543,2115,3376
4545,1811,1457
4546,2193,2823
4555,2092,1509
4558,1553,1062
4561,1586,1443
4565,5913,8895
4566,2766,2187
4568,1393,890.6
4571,1610,609.3
4574,5139,1.562e+04
4576,3044,6501
4579,2562,1895
4580,4184,5335
4581,2242,4825
4583,3665,4760
4586,1313,1889
4589,1220,1960
4600,3323,3967
4603,921.2,883.2
4604,1220,751.8
4606,1865,2059
4609,2399,3745
4610,1441,958.3
4611,1526,3472
4612,1313,1316
4614,2399,1730
4616,3946,2456
4617,4369,5664
4622,1851,1460
4623,1814,1560
4624,3273,2457
4626,1746,994.7
4627,5153,5288
4634,3323,6983
4637,2766,3819
4639,1613,3338
4640,2037,965.6
4641,1553,1701
4642,1342,1615
4645,1851,2363
4647,1677,2946
4649,1526,2769
4651,1305,310.8
4655,1614,1204
4665,1300,1900
4668,1313,1622
4669,2032,2034
4673,1969,4672
4674,970.6,761.1
4675,2115,4180
4682,5828,8449
4685,1969,1343
4686,2408,840.5
4687,1904,942.1
4694,4702,6174
4695,1904,2810
4696,7222,5927
4699,1450,1824
4701,1013,476.8
4702,1526,1687
4704,1553,608.4
4707,1754,3132
4708,2554,1326
4709,1013,716.4
4710,1114,1428
4711,5913,8471
4716,2597,1709
4718,1662,1478
4720,1220,1464
4723,4034,6390
4727,1013,850
4733,1339,4153
4734,2206,4020
4735,7087,5733
4737,1754,2165
4738,1754,924.7
4741,1262,1212
4743,2006,738
4747,1156,730.5
4748,4574,7294
4750,1904,1193
4751,1553,2258
4760,1677,1483
4768,1441,2325
4773,2751,4472
4778,6684,8226
4782,1114,1075
4783,5162,5659
4788,1746,656
4790,3323,3664
4795,2120,1497
4796,1677,1101
4801,1013,706.2
4802,1441,547
4804,2309,3266
4811,4754,6567
4814,2120,4159
4815,2037,2878
4817,3141,4091
4819,2801,892.9
4822,4211,4952
4827,2597,4967
4828,1368,1014
4833,3715,330
4834,1691,1410
4836,1667,1418
4838,1677,3842
4848,2092,1733
4858,866.6,528.9
4859,4844,4521
4862,2266,954.7
4864,2092,1427
4870,6710,4471
4876,1851,2696
4883,1300,1956
4884,2766,3524
4889,1555,940
4894,1697,1443
4901,1040,1399
4902,1553,4805
4906,832.3,567.1
4908,8491,1.208e+04
4912,5139,2766
4918,2890,938.6
4923,2115,6512
4924,2399,2067
4930,2597,5436
4932,2399,1668
